Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,786432,67239936,85,0.0514387,14.2387,1307.19
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align4,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,786432,67239936,85,0.0569549,12.8597,1180.58
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align2,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,786432,67239936,85,0.0527565,13.8831,1274.53
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align1,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,1,1,1,2,4,2,1,16,16,4,70,75,786432,67239936,85,0.0791664,9.25168,849.349
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x256_32x2_nn_align8,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,1,1,1,2,2,4,1,16,16,4,70,75,786432,67239936,85,0.0482918,15.1666,1392.37
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x256_32x2_nn_align4,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,1,1,1,2,2,4,1,16,16,4,70,75,786432,67239936,85,0.0474326,15.4413,1417.59
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x256_32x2_nn_align2,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,1,1,1,2,2,4,1,16,16,4,70,75,786432,67239936,85,0.0529818,13.824,1269.11
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x256_32x2_nn_align1,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,1,1,1,2,2,4,1,16,16,4,70,75,786432,67239936,85,0.0628326,11.6567,1070.14
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x128_32x2_nn_align8,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,2,2,2,1,16,16,4,70,75,786432,67239936,85,0.0326442,22.4365,2059.78
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x128_32x2_nn_align4,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,2,2,2,1,16,16,4,70,75,786432,67239936,85,0.033159,22.0882,2027.8
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_128x128_32x2_nn_align2,passed,success,universal,128,512,512,f16:column,f16:column,f16:column,f16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,2,2,2,1,16,16,4,70,75,786432,67239936,85,0.0313344,23.3744,2145.88
