M,N,K,library,tflops
128,512,512,cublas,6.12093
256,512,512,cublas,8.56085
384,512,512,cublas,12.3111
512,512,512,cublas,16.1618
640,512,512,cublas,17.752
768,512,512,cublas,20.8925
896,512,512,cublas,23.9906
1024,512,512,cublas,26.7409
1152,512,512,cublas,29.3472
1280,512,512,cublas,29.8748
1408,512,512,cublas,32.4851
1536,512,512,cublas,35.5008
1664,512,512,cublas,41.4104
1792,512,512,cublas,52.0062
1920,512,512,cublas,39.2745
2048,512,512,cublas,42.166
128,4096,4096,cublas,54.6445
256,4096,4096,cublas,91.7502
384,4096,4096,cublas,99.1869
512,4096,4096,cublas,101.974
640,4096,4096,cublas,93.3654
768,4096,4096,cublas,94.367
896,4096,4096,cublas,92.4378
1024,4096,4096,cublas,101.634
1152,4096,4096,cublas,105.916
1280,4096,4096,cublas,98.697
1408,4096,4096,cublas,95.8609
1536,4096,4096,cublas,103.145
1664,4096,4096,cublas,105.235
1792,4096,4096,cublas,95.0532
1920,4096,4096,cublas,96.6178
2048,4096,4096,cublas,103.172
128,14336,4096,cublas,59.4265
256,14336,4096,cublas,91.156
384,14336,4096,cublas,93.7282
512,14336,4096,cublas,90.6875
640,14336,4096,cublas,104.11
768,14336,4096,cublas,103.117
896,14336,4096,cublas,100.762
1024,14336,4096,cublas,99.8133
1152,14336,4096,cublas,106.661
1280,14336,4096,cublas,106.081
1408,14336,4096,cublas,104.228
1536,14336,4096,cublas,102.982
1664,14336,4096,cublas,102.027
1792,14336,4096,cublas,106.234
1920,14336,4096,cublas,104.892
2048,14336,4096,cublas,103.998
128,4096,1024,cublas,35.8067
256,4096,1024,cublas,60.8659
384,4096,1024,cublas,63.8467
512,4096,1024,cublas,87.4468
640,4096,1024,cublas,60.1159
768,4096,1024,cublas,71.7241
896,4096,1024,cublas,84.1792
1024,4096,1024,cublas,95.7566
1152,4096,1024,cublas,100.969
1280,4096,1024,cublas,81.0778
1408,4096,1024,cublas,89.4432
1536,4096,1024,cublas,97.0455
1664,4096,1024,cublas,96.721
1792,4096,1024,cublas,84.1516
1920,4096,1024,cublas,88.8097
2048,4096,1024,cublas,94.5076
128,1024,4096,cublas,31.3435
256,1024,4096,cublas,52.9371
384,1024,4096,cublas,64.672
512,1024,4096,cublas,51.8061
640,1024,4096,cublas,60.2258
768,1024,4096,cublas,72.2302
896,1024,4096,cublas,84.275
1024,1024,4096,cublas,77.8433
1152,1024,4096,cublas,81.4454
1280,1024,4096,cublas,89.5946
1408,1024,4096,cublas,71.2144
1536,1024,4096,cublas,77.2549
1664,1024,4096,cublas,84.1367
1792,1024,4096,cublas,90.1378
1920,1024,4096,cublas,94.2224
2048,1024,4096,cublas,98.2272
128,512,512,cutlass,7.95084
128,1024,4096,cutlass,28.1752
128,4096,1024,cutlass,34.5946
128,4096,4096,cutlass,53.960699999999996
128,14336,4096,cutlass,68.5596
256,512,512,cutlass,14.6189
256,1024,4096,cutlass,41.2277
256,4096,1024,cutlass,52.1124
256,4096,4096,cutlass,80.2778
256,14336,4096,cutlass,83.37360000000001
384,512,512,cutlass,19.2675
384,1024,4096,cutlass,46.001400000000004
384,4096,1024,cutlass,52.659099999999995
384,4096,4096,cutlass,81.462
384,14336,4096,cutlass,90.7145
512,512,512,cutlass,24.676299999999998
512,1024,4096,cutlass,72.6456
512,4096,1024,cutlass,68.3834
512,4096,4096,cutlass,83.67060000000001
512,14336,4096,cutlass,86.69319999999999
640,512,512,cutlass,26.692700000000002
640,1024,4096,cutlass,71.4524
640,4096,1024,cutlass,68.0553
640,4096,4096,cutlass,81.8416
640,14336,4096,cutlass,87.28110000000001
768,512,512,cutlass,32.1997
768,1024,4096,cutlass,75.4736
768,4096,1024,cutlass,83.3929
768,4096,4096,cutlass,86.50160000000001
768,14336,4096,cutlass,91.1893
896,512,512,cutlass,35.1951
896,1024,4096,cutlass,83.7501
896,4096,1024,cutlass,82.621
896,4096,4096,cutlass,85.7813
896,14336,4096,cutlass,87.83139999999999
1024,512,512,cutlass,38.7398
1024,1024,4096,cutlass,93.33189999999999
1024,4096,1024,cutlass,91.6966
1024,4096,4096,cutlass,84.8179
1024,14336,4096,cutlass,91.3947
1152,512,512,cutlass,40.7719
1152,1024,4096,cutlass,97.3642
1152,4096,1024,cutlass,93.1618
1152,4096,4096,cutlass,93.6295
1152,14336,4096,cutlass,91.1008
1280,512,512,cutlass,40.1937
1280,1024,4096,cutlass,81.4212
1280,4096,1024,cutlass,83.7406
1280,4096,4096,cutlass,92.6677
1280,14336,4096,cutlass,92.7736
1408,512,512,cutlass,43.667699999999996
1408,1024,4096,cutlass,87.1285
1408,4096,1024,cutlass,90.2564
1408,4096,4096,cutlass,92.33439999999999
1408,14336,4096,cutlass,88.9554
1536,512,512,cutlass,47.1537
1536,1024,4096,cutlass,87.1097
1536,4096,1024,cutlass,90.1365
1536,4096,4096,cutlass,90.4133
1536,14336,4096,cutlass,91.8982
1664,512,512,cutlass,48.6495
1664,1024,4096,cutlass,90.5637
1664,4096,1024,cutlass,90.5385
1664,4096,4096,cutlass,89.4159
1664,14336,4096,cutlass,89.71730000000001
1792,512,512,cutlass,52.1069
1792,1024,4096,cutlass,90.1612
1792,4096,1024,cutlass,85.3279
1792,4096,4096,cutlass,89.954
1792,14336,4096,cutlass,95.70819999999999
1920,512,512,cutlass,55.522
1920,1024,4096,cutlass,94.84519999999999
1920,4096,1024,cutlass,89.4725
1920,4096,4096,cutlass,86.3479
1920,14336,4096,cutlass,89.5647
2048,512,512,cutlass,59.4244
2048,1024,4096,cutlass,98.45660000000001
2048,4096,1024,cutlass,90.154
2048,4096,4096,cutlass,87.7526
2048,14336,4096,cutlass,92.1187
